"id";"questionId";"answerText"
1;2;class MyClass {}
2;2;new class MyClass {}
3;2;select * from class MyClass {}
4;2;MyClass extends class {}
5;3;Создание новой переменной
6;3;Объявление нового класса
7;3;Создание экземпляра класса
8;3;Это антагонист оператора OLD
9;4;Этот класс наследуется от другого
10;4;Это дополнительный модуль класса, расширяющий его свойства
11;4;Два класса делают одно и то же
12;4;Это самый большой класс в программе
13;5;Изменение поведения метода класса относительно его родителя
14;5;Изменение поведения метода класса относительно дочернего
15;5;Несколько методов с одинаковым именем, но разным набором параметров
16;5;Несколько разных классов с одним и тем же методом
